source,url,title,page,alias_matched,match_context,match_location,needs_manual_review,confidence
Webpage,https://pubmed.ncbi.nlm.nih.gov/36171639/,"Abstracts of Scientific Presentations: 2022 AALAS National Meeting Louisville, Kentucky - PubMed",,4,"nd Human Services (HHS). Unauthorized use of these marks is strictly prohibited. Follow NCBI Twitter Facebook LinkedIn GitHub Connect with NLM Twitter SM-Facebook SM-Youtube National Library of Medicine 8600 Rockville Pike Bethesda, MD 20894 Web Policies FOIA HHS Vulnerability Disclosure Help Accessibility Careers NLM NIH HHS USA.gov",body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,Atopic Dermatitis,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms Frontiers in Immunology About us About us Who we are Mission and values History Leadership Awards Impact and progress Frontiers' impact Our annual reports Thou,body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,Psoriasis,bmed Abstract CrossRef Google Scholar View reference in article 35 Yang J Xiao M Ma K Li H Ran M Yang S et al . Therapeutic effects of mesenchymal stem cells and their derivatives in common skin inflammatory diseases: Atopic dermatitis and psoriasis . Front Immunol . ( 2023 ) 14 : 1092668 . doi: 10.3389/fimmu.2023.1092668 Pubmed Abstract CrossRef Google Scholar View reference in article 36 Yang F Wang L Song D Zhang L Wang X Du D et al . Signaling pathways and targeted therapy for ros,body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,OXYGEN,"3.1 Transient receptor potential channels TRP channels (TRPV1, TRPA1, TRPV3, TRPV4) are non-selective Ca² + channels abundantly expressed on cutaneous sensory nerve terminals and keratinocytes ( 78 ). Activated by thermal stimuli, reactive oxygen species(ROS), inflammatory mediators, and PAR-2 signaling, they triggers similar neurogenic inflammation and neurovascular responses in both diseases ( 79 ). In both conditions, the activation of TRPV1/TRPA1 on sensory nerves increases the",body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,Oxygen,"3.1 Transient receptor potential channels TRP channels (TRPV1, TRPA1, TRPV3, TRPV4) are non-selective Ca² + channels abundantly expressed on cutaneous sensory nerve terminals and keratinocytes ( 78 ). Activated by thermal stimuli, reactive oxygen species(ROS), inflammatory mediators, and PAR-2 signaling, they triggers similar neurogenic inflammation and neurovascular responses in both diseases ( 79 ). In both conditions, the activation of TRPV1/TRPA1 on sensory nerves increases the",body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,Eczema,"’ quality of life ( 1 , 2 ). Within traditional dermatological frameworks, rosacea and atopic dermatitis have been conceptualized as entirely distinct and potentially mutually exclusive entities. AD is classically characterized by pruritic eczematous lesions driven by Th2-skewed immunity and Staphylococcus aureus colonization, whereas rosacea typically manifests as central facial erythema with inflammatory papules and pustules, associated with Th 1/Th 17 activation and Demodex prol",body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,Air,and values History Leadership Awards Impact and progress Frontiers' impact Our annual reports Thought leadership Publishing model How we publish Open access Quality and research integrity Peer review Research Topics Publish your data with FAIR² Fee policy Services Societies National consortia Institutional partnerships Collaborators More from Frontiers Frontiers Forum Frontiers Planet Prize Press office Sustainability Career opportunities Contact us All journals All articles Sub,body,False,0
Webpage,https://doi.org/10.3389/fimmu.2026.1837198,Frontiers | The association between atopic dermatitis and rosacea: a comprehensive review from comorbidities to pathogenic mechanisms,,4,core Editor & Reviewers Edited by V O Valentyn Oksenych Reviewed by M L Maria Lucia Dell'Anna D S Debjeet Sur Outline Abstract 1 Introduction 2 Common comorbidities with focus on autoimmune diseases 3 Mechanistic convergence and divergence 4 Conclusions and future perspectives Author contributions Funding Acknowledgments Conflict of interest Generative AI statement Publisher’s note References Figures and Tables Figure 1 View in article Figure 2 View in article Figure 3 View in,body,False,0
Webpage,https://doi.org/10.7189/jogh.16.04223,"Association between asthma, allergic rhinitis, atopic dermatitis, and dental caries: evidence from systematic review with meta-analysis and Mendelian randomisation investigation — JOGH",,Atopic Dermatitis,"Association between asthma, allergic rhinitis, atopic dermatitis, and dental caries: evidence from systematic review with meta-analysis and Mendelian randomisation investigation - JOGH [email protected] ISSN: 2047-2986 Facebook-f Twitter Youtube Linkedin Envelope Home JOGH Current volume JoGH Collection",body,False,0
Webpage,https://doi.org/10.7189/jogh.16.04223,"Association between asthma, allergic rhinitis, atopic dermatitis, and dental caries: evidence from systematic review with meta-analysis and Mendelian randomisation investigation — JOGH",,Eczema,"health between children on therapy for asthma and allergic rhinitis and their healthy peers.Alergologia Polska-Polish Journal of Allergology. 2025;12:79-85. 10.5114/pja.2024.145209 [81] Silverberg JI, Simpson EL. Association between severe eczema in children and multiple comorbid conditions and increased healthcare utilization.Pediatr Allergy Immunol. 2013;24:476-86. 10.1111/pai.1209523773154 [82] Smirnova J, Montgomery S, Lindberg M, Svensson Å, von Kobyletzki L. Associations of s",body,False,0
Webpage,https://doi.org/10.7189/jogh.16.04223,"Association between asthma, allergic rhinitis, atopic dermatitis, and dental caries: evidence from systematic review with meta-analysis and Mendelian randomisation investigation — JOGH",,Air,"g with and without adjustment. Preference was given to the multivariable estimates to account for potential confounding variables (Text S2 in the Online Supplementary Document ). We calculated pooled effect sizes using the DerSimonian and Laird random-effects models, and presented results as ORs with 95% CI between groups. A method based on single imputation with a prespecified value that borrows information from observed outcomes ( e.g. the worst observed data) was used for mis",body,False,0
Webpage,https://doi.org/10.7189/jogh.16.04223,"Association between asthma, allergic rhinitis, atopic dermatitis, and dental caries: evidence from systematic review with meta-analysis and Mendelian randomisation investigation — JOGH",,4,"Association between asthma, allergic rhinitis, atopic dermatitis, and dental caries: evidence from systematic review with meta-analysis and Mendelian randomisation investigation - JOGH [email protected] ISSN: 2047-2986 Facebook-f Twitter Youtube Linkedin Envelope Home JOGH Current volume JoGH Collections JoGH Special Themes Archive Information For Contributors Editorial Policies Aims and scope Information on Research Themes and JoGH Collections Glo",body,False,0
Webpage,https://doi.org/10.3389/fmed.2026.1831398,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis,,Atopic Dermatitis,Frontiers | Case Report: Intravenous transplantation of autologous adipose tissue-derived mesenchymal stem cells attenuated atopic dermatitis Frontiers in Medicine About us About us Who we are Mission and values History Leadership Awards Impact and progress Frontiers' impact Our annual reports Thought leadership Publishing model How we publish Open access Quality and research in,body,False,0
