source,query_used,pmid,pmcid,doi,title,abstract,journal,pub_date,url,publication_types,authors,match_location,alias_matched,match_context,confidence
PubMed,"""4"" ""atopic dermatitis""",42374848,,10.1177/17103568261457273,Assessment and Clinical Management of Patients With Atopic Dermatitis Undergoing Patch Testing: Recommendations From an International Electronic Delphi Consensus.,"Individuals with atopic dermatitis (AD) may be referred for patch testing to rule out allergic contact dermatitis (ACD). While past expert consensus outlines when and how to patch test these patients, clinical management and measurement of meaningful clinical improvement is particularly challenging in this population.
To develop practical clinical recommendations in the assessment and management of patients with AD undergoing patch testing.
An international modified electronic (e)Delphi consensus exercise was conducted among 18 AD and ACD experts.
Following 4 rounds, a total of 21/24 (87.5%) clinical management statements and 15/18 (83.3%) clinical assessment statements reached consensus. Avoidance of cutaneous sources of allergens with positive (+, ++, and +++) and doubtful (+/-) reactions, use of hyporeactive products, and strict adherence to a ""safe products list"" of allergen-free products were recommended. Follow-up at approximately 3 months with assessment via both (1) patient-reported outcomes (PRO) and (2) clinician-reported outcomes (ClinRO) validated measurement tools were recommended to guide therapeutic decision-making.
This eDelphi exercise establishes clear recommendations to manage, evaluate, and further treat patients with AD following patch testing.","Dermatitis : contact, atopic, occupational, drug",2026-Jun-30,https://pubmed.ncbi.nlm.nih.gov/42374848/,Journal Article,Jamie P Schlarbaum; Erin M Warshaw; Yael A Leshem; Jonathan I Silverberg; Sara Hylwa; Susan Nedorost; Aaron Drucker; Lisa A Beck; Peggy A Wu; Jennifer K Chen; JiaDe Yu; Brandon L Adler,title,Atopic Dermatitis,Assessment and Clinical Management of Patients With Atopic Dermatitis Undergoing Patch Testing: Recommendations From an International Electronic Delphi Consensus.,0
PubMed,"""4"" ""atopic dermatitis""",42374848,,10.1177/17103568261457273,Assessment and Clinical Management of Patients With Atopic Dermatitis Undergoing Patch Testing: Recommendations From an International Electronic Delphi Consensus.,"Individuals with atopic dermatitis (AD) may be referred for patch testing to rule out allergic contact dermatitis (ACD). While past expert consensus outlines when and how to patch test these patients, clinical management and measurement of meaningful clinical improvement is particularly challenging in this population.
To develop practical clinical recommendations in the assessment and management of patients with AD undergoing patch testing.
An international modified electronic (e)Delphi consensus exercise was conducted among 18 AD and ACD experts.
Following 4 rounds, a total of 21/24 (87.5%) clinical management statements and 15/18 (83.3%) clinical assessment statements reached consensus. Avoidance of cutaneous sources of allergens with positive (+, ++, and +++) and doubtful (+/-) reactions, use of hyporeactive products, and strict adherence to a ""safe products list"" of allergen-free products were recommended. Follow-up at approximately 3 months with assessment via both (1) patient-reported outcomes (PRO) and (2) clinician-reported outcomes (ClinRO) validated measurement tools were recommended to guide therapeutic decision-making.
This eDelphi exercise establishes clear recommendations to manage, evaluate, and further treat patients with AD following patch testing.","Dermatitis : contact, atopic, occupational, drug",2026-Jun-30,https://pubmed.ncbi.nlm.nih.gov/42374848/,Journal Article,Jamie P Schlarbaum; Erin M Warshaw; Yael A Leshem; Jonathan I Silverberg; Sara Hylwa; Susan Nedorost; Aaron Drucker; Lisa A Beck; Peggy A Wu; Jennifer K Chen; JiaDe Yu; Brandon L Adler,abstract,Atopic Dermatitis,"Individuals with atopic dermatitis (AD) may be referred for patch testing to rule out allergic contact dermatitis (ACD). While past expert consensus outlines when and how to patch test these patients, clinical management and measurement of meaningful cli",0
PubMed,"""4"" ""atopic dermatitis""",42374848,,10.1177/17103568261457273,Assessment and Clinical Management of Patients With Atopic Dermatitis Undergoing Patch Testing: Recommendations From an International Electronic Delphi Consensus.,"Individuals with atopic dermatitis (AD) may be referred for patch testing to rule out allergic contact dermatitis (ACD). While past expert consensus outlines when and how to patch test these patients, clinical management and measurement of meaningful clinical improvement is particularly challenging in this population.
To develop practical clinical recommendations in the assessment and management of patients with AD undergoing patch testing.
An international modified electronic (e)Delphi consensus exercise was conducted among 18 AD and ACD experts.
Following 4 rounds, a total of 21/24 (87.5%) clinical management statements and 15/18 (83.3%) clinical assessment statements reached consensus. Avoidance of cutaneous sources of allergens with positive (+, ++, and +++) and doubtful (+/-) reactions, use of hyporeactive products, and strict adherence to a ""safe products list"" of allergen-free products were recommended. Follow-up at approximately 3 months with assessment via both (1) patient-reported outcomes (PRO) and (2) clinician-reported outcomes (ClinRO) validated measurement tools were recommended to guide therapeutic decision-making.
This eDelphi exercise establishes clear recommendations to manage, evaluate, and further treat patients with AD following patch testing.","Dermatitis : contact, atopic, occupational, drug",2026-Jun-30,https://pubmed.ncbi.nlm.nih.gov/42374848/,Journal Article,Jamie P Schlarbaum; Erin M Warshaw; Yael A Leshem; Jonathan I Silverberg; Sara Hylwa; Susan Nedorost; Aaron Drucker; Lisa A Beck; Peggy A Wu; Jennifer K Chen; JiaDe Yu; Brandon L Adler,abstract,4,"nical recommendations in the assessment and management of patients with AD undergoing patch testing. An international modified electronic (e)Delphi consensus exercise was conducted among 18 AD and ACD experts. Following 4 rounds, a total of 21/24 (87.5%) clinical management statements and 15/18 (83.3%) clinical assessment statements reached consensus. Avoidance of cutaneous sources of allergens with positive (+, ++, and +++) and doubtful",0
PubMed,"""4"" ""atopic dermatitis""",42371286,,10.1007/s40261-026-01573-9,"Efficacy, Safety, Quality of Life, and Adherence of Dupilumab in Pediatric Atopic Dermatitis: A Systematic Review.","Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disease that disproportionately affects children, often causing significant physical, psychological, and social burdens. While biologic therapies have transformed AD management in adults, pediatric-specific evidence remains limited. Dupilumab, an interleukin (IL)-4 receptor α antagonist that inhibits IL-4 and IL-13 signaling, is currently the only US Food and Drug Administration (FDA)-approved biologic for pediatric AD.
To systematically review the efficacy, safety, quality of life, and adherence of dupilumab in children (0-12 years) with moderate-to-severe AD.
This review followed Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. PubMed, Embase, and Cochrane Library were searched from inception to August 10, 2024, for studies involving biologic use in pediatric AD. Eligible designs included randomized controlled trials (RCTs), open-label extensions, observational studies, case series, and case reports reporting validated efficacy, safety, quality of life, or adherence outcomes. Risk of bias was assessed using the Mixed Methods Appraisal Tool (MMAT). Results were synthesized narratively, stratified by study design and age group; meta-analysis was not performed due to heterogeneity in study designs, outcome measures, and follow-up durations.
Of 1576 records screened, 20 studies (n= around 1200; age range: 5 months to 12 years) met inclusion criteria. Across study designs, dupilumab produced rapid and sustained improvements in disease severity, with mean Eczema Area and Severity Index (EASI) reductions of 62-92% and high EASI-75 response rates (53-94%) within 16-52 weeks. Quality of life gains were substantial, including large reductions in Children's Dermatology Life Quality Index scores (up to ~89%) and marked sleep improvement. Adverse events were generally mild; conjunctivitis (0-20%) was the most common, with rare herpesvirus infections and injection-site reactions. Laboratory abnormalities including eosinophilia and alkaline phosphatase (ALP) elevation were typically asymptomatic and transient. Adherence was high (≥90% in most cohorts), with low discontinuation rates. Data were synthesized across two developmental age groups where possible: children aged 6 months to 5 years and children aged 6 to 11 years. Some studies reported numerically higher or faster responses in younger children (<6 years), although findings were inconsistent across cohorts and limited by differences in disease duration, dosing, and sample size. The predominantly observational and uncontrolled study designs, heterogeneity in outcome measures and follow-up durations, and small sample sizes in several cohorts limit the certainty of the evidence.
Dupilumab demonstrates robust efficacy, durable benefits, and a favorable safety profile in pediatric AD, with meaningful improvements in quality of life and adherence. Evidence supports its consideration as a systemic option for moderate-to-severe disease inadequately controlled by topical therapy. Future research should address long-term outcomes, comparative effectiveness versus conventional immunosuppressants, age-stratified response patterns and their confounders, and cost effectiveness in diverse healthcare settings.",Clinical drug investigation,2026-Jun-29,https://pubmed.ncbi.nlm.nih.gov/42371286/,Journal Article; Systematic Review,Jacob Surma; Jenna Currier; David Doyle; Mackenzy Maddock; Garrett Borgman; Cassandra DeGroat; Sierra Demarinis; Natalie Aguilar; Spencer Williams; Patrick Fakhoury; Robert Stachler,title,Atopic Dermatitis,"Efficacy, Safety, Quality of Life, and Adherence of Dupilumab in Pediatric Atopic Dermatitis: A Systematic Review.",0
PubMed,"""4"" ""atopic dermatitis""",42371286,,10.1007/s40261-026-01573-9,"Efficacy, Safety, Quality of Life, and Adherence of Dupilumab in Pediatric Atopic Dermatitis: A Systematic Review.","Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disease that disproportionately affects children, often causing significant physical, psychological, and social burdens. While biologic therapies have transformed AD management in adults, pediatric-specific evidence remains limited. Dupilumab, an interleukin (IL)-4 receptor α antagonist that inhibits IL-4 and IL-13 signaling, is currently the only US Food and Drug Administration (FDA)-approved biologic for pediatric AD.
To systematically review the efficacy, safety, quality of life, and adherence of dupilumab in children (0-12 years) with moderate-to-severe AD.
This review followed Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. PubMed, Embase, and Cochrane Library were searched from inception to August 10, 2024, for studies involving biologic use in pediatric AD. Eligible designs included randomized controlled trials (RCTs), open-label extensions, observational studies, case series, and case reports reporting validated efficacy, safety, quality of life, or adherence outcomes. Risk of bias was assessed using the Mixed Methods Appraisal Tool (MMAT). Results were synthesized narratively, stratified by study design and age group; meta-analysis was not performed due to heterogeneity in study designs, outcome measures, and follow-up durations.
Of 1576 records screened, 20 studies (n= around 1200; age range: 5 months to 12 years) met inclusion criteria. Across study designs, dupilumab produced rapid and sustained improvements in disease severity, with mean Eczema Area and Severity Index (EASI) reductions of 62-92% and high EASI-75 response rates (53-94%) within 16-52 weeks. Quality of life gains were substantial, including large reductions in Children's Dermatology Life Quality Index scores (up to ~89%) and marked sleep improvement. Adverse events were generally mild; conjunctivitis (0-20%) was the most common, with rare herpesvirus infections and injection-site reactions. Laboratory abnormalities including eosinophilia and alkaline phosphatase (ALP) elevation were typically asymptomatic and transient. Adherence was high (≥90% in most cohorts), with low discontinuation rates. Data were synthesized across two developmental age groups where possible: children aged 6 months to 5 years and children aged 6 to 11 years. Some studies reported numerically higher or faster responses in younger children (<6 years), although findings were inconsistent across cohorts and limited by differences in disease duration, dosing, and sample size. The predominantly observational and uncontrolled study designs, heterogeneity in outcome measures and follow-up durations, and small sample sizes in several cohorts limit the certainty of the evidence.
Dupilumab demonstrates robust efficacy, durable benefits, and a favorable safety profile in pediatric AD, with meaningful improvements in quality of life and adherence. Evidence supports its consideration as a systemic option for moderate-to-severe disease inadequately controlled by topical therapy. Future research should address long-term outcomes, comparative effectiveness versus conventional immunosuppressants, age-stratified response patterns and their confounders, and cost effectiveness in diverse healthcare settings.",Clinical drug investigation,2026-Jun-29,https://pubmed.ncbi.nlm.nih.gov/42371286/,Journal Article; Systematic Review,Jacob Surma; Jenna Currier; David Doyle; Mackenzy Maddock; Garrett Borgman; Cassandra DeGroat; Sierra Demarinis; Natalie Aguilar; Spencer Williams; Patrick Fakhoury; Robert Stachler,abstract,Atopic Dermatitis,"Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disease that disproportionately affects children, often causing significant physical, psychological, and social burdens. While biologic therapies have transformed AD manage",0
PubMed,"""4"" ""atopic dermatitis""",42371286,,10.1007/s40261-026-01573-9,"Efficacy, Safety, Quality of Life, and Adherence of Dupilumab in Pediatric Atopic Dermatitis: A Systematic Review.","Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disease that disproportionately affects children, often causing significant physical, psychological, and social burdens. While biologic therapies have transformed AD management in adults, pediatric-specific evidence remains limited. Dupilumab, an interleukin (IL)-4 receptor α antagonist that inhibits IL-4 and IL-13 signaling, is currently the only US Food and Drug Administration (FDA)-approved biologic for pediatric AD.
To systematically review the efficacy, safety, quality of life, and adherence of dupilumab in children (0-12 years) with moderate-to-severe AD.
This review followed Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. PubMed, Embase, and Cochrane Library were searched from inception to August 10, 2024, for studies involving biologic use in pediatric AD. Eligible designs included randomized controlled trials (RCTs), open-label extensions, observational studies, case series, and case reports reporting validated efficacy, safety, quality of life, or adherence outcomes. Risk of bias was assessed using the Mixed Methods Appraisal Tool (MMAT). Results were synthesized narratively, stratified by study design and age group; meta-analysis was not performed due to heterogeneity in study designs, outcome measures, and follow-up durations.
Of 1576 records screened, 20 studies (n= around 1200; age range: 5 months to 12 years) met inclusion criteria. Across study designs, dupilumab produced rapid and sustained improvements in disease severity, with mean Eczema Area and Severity Index (EASI) reductions of 62-92% and high EASI-75 response rates (53-94%) within 16-52 weeks. Quality of life gains were substantial, including large reductions in Children's Dermatology Life Quality Index scores (up to ~89%) and marked sleep improvement. Adverse events were generally mild; conjunctivitis (0-20%) was the most common, with rare herpesvirus infections and injection-site reactions. Laboratory abnormalities including eosinophilia and alkaline phosphatase (ALP) elevation were typically asymptomatic and transient. Adherence was high (≥90% in most cohorts), with low discontinuation rates. Data were synthesized across two developmental age groups where possible: children aged 6 months to 5 years and children aged 6 to 11 years. Some studies reported numerically higher or faster responses in younger children (<6 years), although findings were inconsistent across cohorts and limited by differences in disease duration, dosing, and sample size. The predominantly observational and uncontrolled study designs, heterogeneity in outcome measures and follow-up durations, and small sample sizes in several cohorts limit the certainty of the evidence.
Dupilumab demonstrates robust efficacy, durable benefits, and a favorable safety profile in pediatric AD, with meaningful improvements in quality of life and adherence. Evidence supports its consideration as a systemic option for moderate-to-severe disease inadequately controlled by topical therapy. Future research should address long-term outcomes, comparative effectiveness versus conventional immunosuppressants, age-stratified response patterns and their confounders, and cost effectiveness in diverse healthcare settings.",Clinical drug investigation,2026-Jun-29,https://pubmed.ncbi.nlm.nih.gov/42371286/,Journal Article; Systematic Review,Jacob Surma; Jenna Currier; David Doyle; Mackenzy Maddock; Garrett Borgman; Cassandra DeGroat; Sierra Demarinis; Natalie Aguilar; Spencer Williams; Patrick Fakhoury; Robert Stachler,abstract,Eczema,"ns. Of 1576 records screened, 20 studies (n= around 1200; age range: 5 months to 12 years) met inclusion criteria. Across study designs, dupilumab produced rapid and sustained improvements in disease severity, with mean Eczema Area and Severity Index (EASI) reductions of 62-92% and high EASI-75 response rates (53-94%) within 16-52 weeks. Quality of life gains were substantial, including large reductions in Children's Dermatology Life Quality",0
PubMed,"""4"" ""atopic dermatitis""",42371286,,10.1007/s40261-026-01573-9,"Efficacy, Safety, Quality of Life, and Adherence of Dupilumab in Pediatric Atopic Dermatitis: A Systematic Review.","Atopic dermatitis (AD) is a chronic, relapsing inflammatory skin disease that disproportionately affects children, often causing significant physical, psychological, and social burdens. While biologic therapies have transformed AD management in adults, pediatric-specific evidence remains limited. Dupilumab, an interleukin (IL)-4 receptor α antagonist that inhibits IL-4 and IL-13 signaling, is currently the only US Food and Drug Administration (FDA)-approved biologic for pediatric AD.
To systematically review the efficacy, safety, quality of life, and adherence of dupilumab in children (0-12 years) with moderate-to-severe AD.
This review followed Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. PubMed, Embase, and Cochrane Library were searched from inception to August 10, 2024, for studies involving biologic use in pediatric AD. Eligible designs included randomized controlled trials (RCTs), open-label extensions, observational studies, case series, and case reports reporting validated efficacy, safety, quality of life, or adherence outcomes. Risk of bias was assessed using the Mixed Methods Appraisal Tool (MMAT). Results were synthesized narratively, stratified by study design and age group; meta-analysis was not performed due to heterogeneity in study designs, outcome measures, and follow-up durations.
Of 1576 records screened, 20 studies (n= around 1200; age range: 5 months to 12 years) met inclusion criteria. Across study designs, dupilumab produced rapid and sustained improvements in disease severity, with mean Eczema Area and Severity Index (EASI) reductions of 62-92% and high EASI-75 response rates (53-94%) within 16-52 weeks. Quality of life gains were substantial, including large reductions in Children's Dermatology Life Quality Index scores (up to ~89%) and marked sleep improvement. Adverse events were generally mild; conjunctivitis (0-20%) was the most common, with rare herpesvirus infections and injection-site reactions. Laboratory abnormalities including eosinophilia and alkaline phosphatase (ALP) elevation were typically asymptomatic and transient. Adherence was high (≥90% in most cohorts), with low discontinuation rates. Data were synthesized across two developmental age groups where possible: children aged 6 months to 5 years and children aged 6 to 11 years. Some studies reported numerically higher or faster responses in younger children (<6 years), although findings were inconsistent across cohorts and limited by differences in disease duration, dosing, and sample size. The predominantly observational and uncontrolled study designs, heterogeneity in outcome measures and follow-up durations, and small sample sizes in several cohorts limit the certainty of the evidence.
Dupilumab demonstrates robust efficacy, durable benefits, and a favorable safety profile in pediatric AD, with meaningful improvements in quality of life and adherence. Evidence supports its consideration as a systemic option for moderate-to-severe disease inadequately controlled by topical therapy. Future research should address long-term outcomes, comparative effectiveness versus conventional immunosuppressants, age-stratified response patterns and their confounders, and cost effectiveness in diverse healthcare settings.",Clinical drug investigation,2026-Jun-29,https://pubmed.ncbi.nlm.nih.gov/42371286/,Journal Article; Systematic Review,Jacob Surma; Jenna Currier; David Doyle; Mackenzy Maddock; Garrett Borgman; Cassandra DeGroat; Sierra Demarinis; Natalie Aguilar; Spencer Williams; Patrick Fakhoury; Robert Stachler,abstract,4,"dren, often causing significant physical, psychological, and social burdens. While biologic therapies have transformed AD management in adults, pediatric-specific evidence remains limited. Dupilumab, an interleukin (IL)-4 receptor α antagonist that inhibits IL-4 and IL-13 signaling, is currently the only US Food and Drug Administration (FDA)-approved biologic for pediatric AD. To systematically review the efficacy, safety, quality of lif",0
PubMed,"""4"" ""atopic dermatitis""",42371027,,10.1007/s00417-026-07344-8,Lens epithelial cell damage and reduced aquaporin-1 immunoreactivity in liquefied mature cataracts.,"To investigate the pathological characteristics of lens epithelial cells (LECs) in liquefied versus non-liquefied mature cataracts.
Twenty-one unilateral and one bilateral mature cataract cases underwent surgery. Based on intraoperative findings, eyes were classified into a liquefied (11 eyes) and non-liquefied (11 eyes) groups. Patient history, ocular morphology, and histopathological evaluation of the anterior lens capsule were analyzed. Cross-sectional and flat-mounted LEC specimens were examined using upright microscope (UM), and aquaporin-1 (AQP1) immunostaining was assessed via confocal laser scanning microscope (CLSM).
UM showed extensive LEC nuclear deficiency/flattening in all liquefied cases and a higher prevalence of subcapsular fibrosis (82% vs. 9%) compared with the non-liquefied group. CLSM revealed significantly lower AQP1 immunostaining scores in the liquefied group compared to the non-liquefied group (1.76 ± 0.59 vs. 4.48 ± 0.60, p = 0.00054). In this small cohort, atopic dermatitis was present in 5 of 11 eyes (45.5%) in the liquefied group, whereas diabetes mellitus was present in 4 of 11 eyes (36.4%) in the non-liquefied group. Given the uneven distribution of these systemic backgrounds, disease-specific differences in LEC nuclear deficiency/flattening, subcapsular fibrosis, and AQP1 immunostaining could not be assessed separately.
Lens liquefaction in mature cataracts was associated with a marked paucity of identifiable LECs and lower AQP1 immunostaining scores. The potential roles of these epithelial changes in lens liquefaction warrant further study.",Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2026-Jun-29,https://pubmed.ncbi.nlm.nih.gov/42371027/,Journal Article,Kosuke Ichihara; Koji Komatsu; Yoichiro Masuda; Atsushi Tohma; Masanobu Iida; Ai Iwauchi; Hoshiho Kubota; Yosuke Nakazawa; Naoki Yamamoto; Masayuki Shimoda; Tadashi Nakano,abstract,Atopic Dermatitis,"red with the non-liquefied group. CLSM revealed significantly lower AQP1 immunostaining scores in the liquefied group compared to the non-liquefied group (1.76 ± 0.59 vs. 4.48 ± 0.60, p = 0.00054). In this small cohort, atopic dermatitis was present in 5 of 11 eyes (45.5%) in the liquefied group, whereas diabetes mellitus was present in 4 of 11 eyes (36.4%) in the non-liquefied group. Given the uneven distribution of these systemic backgrounds, disease-",0
PubMed,"""4"" ""atopic dermatitis""",42371027,,10.1007/s00417-026-07344-8,Lens epithelial cell damage and reduced aquaporin-1 immunoreactivity in liquefied mature cataracts.,"To investigate the pathological characteristics of lens epithelial cells (LECs) in liquefied versus non-liquefied mature cataracts.
Twenty-one unilateral and one bilateral mature cataract cases underwent surgery. Based on intraoperative findings, eyes were classified into a liquefied (11 eyes) and non-liquefied (11 eyes) groups. Patient history, ocular morphology, and histopathological evaluation of the anterior lens capsule were analyzed. Cross-sectional and flat-mounted LEC specimens were examined using upright microscope (UM), and aquaporin-1 (AQP1) immunostaining was assessed via confocal laser scanning microscope (CLSM).
UM showed extensive LEC nuclear deficiency/flattening in all liquefied cases and a higher prevalence of subcapsular fibrosis (82% vs. 9%) compared with the non-liquefied group. CLSM revealed significantly lower AQP1 immunostaining scores in the liquefied group compared to the non-liquefied group (1.76 ± 0.59 vs. 4.48 ± 0.60, p = 0.00054). In this small cohort, atopic dermatitis was present in 5 of 11 eyes (45.5%) in the liquefied group, whereas diabetes mellitus was present in 4 of 11 eyes (36.4%) in the non-liquefied group. Given the uneven distribution of these systemic backgrounds, disease-specific differences in LEC nuclear deficiency/flattening, subcapsular fibrosis, and AQP1 immunostaining could not be assessed separately.
Lens liquefaction in mature cataracts was associated with a marked paucity of identifiable LECs and lower AQP1 immunostaining scores. The potential roles of these epithelial changes in lens liquefaction warrant further study.",Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,2026-Jun-29,https://pubmed.ncbi.nlm.nih.gov/42371027/,Journal Article,Kosuke Ichihara; Koji Komatsu; Yoichiro Masuda; Atsushi Tohma; Masanobu Iida; Ai Iwauchi; Hoshiho Kubota; Yosuke Nakazawa; Naoki Yamamoto; Masayuki Shimoda; Tadashi Nakano,abstract,4,"alence of subcapsular fibrosis (82% vs. 9%) compared with the non-liquefied group. CLSM revealed significantly lower AQP1 immunostaining scores in the liquefied group compared to the non-liquefied group (1.76 ± 0.59 vs. 4.48 ± 0.60, p = 0.00054). In this small cohort, atopic dermatitis was present in 5 of 11 eyes (45.5%) in the liquefied group, whereas diabetes mellitus was present in 4 of 11 eyes (36.4%) in the non-liquefied group. Give",0
PubMed,"""4"" ""atopic dermatitis""",42369720,PMC13303494,10.12182/20260560607,"[The Relationship Between Interleukin-4, C-reactive Protein, Atopic Dermatitis, and the Therapeutic Effect of Dupilumab].","To analyze the relationship between interleukin-4 (IL-4), C-reactive protein (CRP), and the incidence, severity, and therapeutic efficacy of Dupilumab in atopic dermatitis.
A total of 106 patients with atopic dermatitis treated from February 2022 to November 2023 were retrospectively selected as the study group, and 50 healthy volunteers from the same period were selected as the control group. The levels of IL-4 and CRP were measured at different stages (acute, subacute, chronic) and severities (mild, moderate, severe) in both the study and control groups. Receiver operating characteristic (ROC) curves were used to analyze the diagnostic value of IL-4 and CRP in atopic dermatitis. Spearman analysis was used to assess the relationship between the severity of atopic dermatitis and the levels of IL-4 and CRP in patients. All patients with atopic dermatitis received standardized 16-week treatment with pembrolizumab and were divided into effective and ineffective treatment groups. Changes in IL-4 and CRP levels before treatment and at 4, 8, 12, and 16 weeks of treatment were compared, and the correlation between IL-4, CRP, and treatment efficacy at each time point after treatment was analyzed.
The levels of IL-4 and CRP were lowest in the chronic phase, higher in the subacute phase, and highest in the acute phase (P < 0.05), with the mild group showing lower levels than the moderate group, and the moderate group lower than the severe group (P < 0.05). Before treatment, the levels of IL-4 and CRP in the study group were (14.88 ± 3.91) pg/mL and (6.07 ± 3.02) mg/L, respectively, both significantly higher than those in the control group, which were (8.27 ± 1.09) pg/mL and (1.06 ± 0.31) mg/L (P < 0.05). The areas under the curve for IL-4, CRP, and their combined diagnosis of atopic dermatitis were 0.831 (95% CI: 0.763-0.886), 0.776 (95% CI: 0.702-0.839), and 0.882 (95% CI: 0.821-0.928), respectively (P < 0.05). Spearman analysis showed that IL-4 and CRP levels in patients with atopic dermatitis were positively correlated with disease severity (r = 0.643, 0.659, P < 0.05). As treatment time increased, IL-4 and CRP levels gradually decreased, with a statistically significant difference between the effective and ineffective groups (P < 0.05). At all time points before and after treatment, IL-4 and CRP levels in the effective treatment group were lower than those in the ineffective treatment group (P < 0.05). Spearman analysis also showed that IL-4 and CRP levels in patients with atopic dermatitis were positively correlated with treatment efficacy at 12 weeks (r = 0.267, 0.280, P < 0.05) and 16 weeks (r = 0.214, 0.377, P < 0.05).
IL-4 and CRP are correlated to the occurrence and development of atopic dermatitis. After treatment with Dupilumab, the levels of IL-4 and CRP in patients significantly decreased. IL-4 and CRP have diagnostic value for atopic dermatitis.",Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,2026-May-20,https://pubmed.ncbi.nlm.nih.gov/42369720/,English Abstract; Journal Article,Tian Zhao; Yinglei Wu; Zhina Shi; Le Liu; Yaohui Yuan,title,Atopic Dermatitis,"[The Relationship Between Interleukin-4, C-reactive Protein, Atopic Dermatitis, and the Therapeutic Effect of Dupilumab].",0
