evidence_id,title,source_types,best_source,url,doi,pmid,pmcid,pub_date,journal_or_site,aliases_matched,match_locations,best_match_context,confidence,evidence_bucket,needs_manual_review,queries_used
EVID-00475,A pan-European register-based observational study of abrocitinib and conventional systemic therapies in moderate and severe atopic dermatitis: the DREAM TO TREAT AD study protocol.,['PubMed' 'Europe PMC' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/40584946/,10.1093/skinhd/vzaf020,40584946,PMC12202868,2025-Jun,Skin health and disease,['Atopic Dermatitis' 'Eczema' '4'],['title' 'abstract'],A pan-European register-based observational study of abrocitinib and conventional systemic therapies in moderate and severe atopic dermatitis: the DREAM TO TREAT AD study protocol.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00439,An expert consensus on managing dupilumab-related ocular surface disorders in people with atopic dermatitis 2024.,['PubMed'],PubMed,https://pubmed.ncbi.nlm.nih.gov/39236226/,10.1093/bjd/ljae344,39236226,,2024-Nov-18,The British journal of dermatology,['Atopic Dermatitis' '4'],['title' 'abstract'],An expert consensus on managing dupilumab-related ocular surface disorders in people with atopic dermatitis 2024.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00510,"Biologics to Treat Atopic Dermatitis: Effectiveness, Safety, and Future Directions.",['PubMed' 'Europe PMC'],PubMed,https://pubmed.ncbi.nlm.nih.gov/40990093/,10.1111/all.70061,40990093,PMC12862569,2026-Feb,Allergy,['Atopic Dermatitis' '4'],['title' 'abstract'],"Biologics to Treat Atopic Dermatitis: Effectiveness, Safety, and Future Directions.",100,confirmed direct evidence,False,"['""4"" ""BenevolentAI""' '""Eczema"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00199,"Characterization of acne associated with upadacitinib treatment in patients with moderate-to-severe atopic dermatitis: A post hoc integrated analysis of 3 phase 3 randomized, double-blind, placebo-controlled trials.",['PubMed'],PubMed,https://pubmed.ncbi.nlm.nih.gov/35714786/,10.1016/j.jaad.2022.06.012,35714786,,2022-Oct,Journal of the American Academy of Dermatology,['Atopic Dermatitis' 'Placebo' '4'],['title' 'abstract'],"Characterization of acne associated with upadacitinib treatment in patients with moderate-to-severe atopic dermatitis: A post hoc integrated analysis of 3 phase 3 randomized, double-blind, placebo-controlled trials.",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00719,"Comparative Efficacy of Lebrikizumab, Dupilumab, and Tralokinumab in Maintaining Treatment Response in Atopic Dermatitis at Varying Treatment Continuance Rates",['OpenAlex'],OpenAlex,https://doi.org/10.25251/skin.9.supp.519,10.25251/skin.9.supp.519,,,2025-01-13,"{""id"": ""doi:10.25251/skin.9.supp.519"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.25251/skin.9.supp.519"", ""pdf_url"": ""https://skin.dermsquared.com/skin/article/download/3158/2362"", ""source"": {""id"": ""https://openalex.org/S4210210594"", ""display_name"": ""SKIN The Journal of Cutaneous Medicine"", ""issn_l"": ""2574-1624"", ""issn"": [""2574-1624""], ""is_oa"": true, ""is_in_doaj"": true, ""is_core"": true, ""host_organization"": null, ""host_organization_name"": null, ""host_organization_lineage"": [], ""host_organization_lineage_names"": [], ""type"": ""journal""}, ""license"": ""cc-by"", ""license_id"": ""https://openalex.org/licenses/cc-by"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""SKIN The Journal of Cutaneous Medicine"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis'],['title'],"Comparative Efficacy of Lebrikizumab, Dupilumab, and Tralokinumab in Maintaining Treatment Response in Atopic Dermatitis at Varying Treatment Continuance Rates https://doi.org/10.25251/skin.9.supp.519",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00334,Discovery of an ITK and TRK kinase inhibitor for the potential topical treatment of atopic dermatitis.,['Europe PMC' 'OpenAlex'],Europe PMC,https://doi.org/10.1038/s41467-026-70000-6,10.1038/s41467-026-70000-6,41803126,PMC13100123,2026,"{""id"": ""doi:10.1038/s41467-026-70000-6"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1038/s41467-026-70000-6"", ""pdf_url"": ""https://www.nature.com/articles/s41467-026-70000-6_reference.pdf"", ""source"": {""id"": ""https://openalex.org/S64187185"", ""display_name"": ""Nature Communications"", ""issn_l"": ""2041-1723"", ""issn"": [""2041-1723""], ""is_oa"": true, ""is_in_doaj"": true, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310319908"", ""host_organization_name"": ""Nature Portfolio"", ""host_organization_lineage"": [""https://openalex.org/P4310319908"", ""https://openalex.org/P4310319965""], ""host_organization_lineage_names"": [""Nature Portfolio"", ""Springer Nature""], ""type"": ""journal""}, ""license"": ""cc-by-nc-nd"", ""license_id"": ""https://openalex.org/licenses/cc-by-nc-nd"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""Nature Communications"", ""raw_type"": ""journal-article""}",['4' 'Atopic Dermatitis'],['abstract' 'title'],"c dermatitis. Interleukin-2-inducible T cell kinase is expressed by T cells and amplifies T cell receptor-dependent signals. Interleukin-2-inducible T cell kinase deletion or inhibition reduces production of interleukin-4 and interleukin-13, key drivers of atopic dermatitis. Nerve growth factor signals via the receptor tropomyosin-related kinase A and may promote pruritus in atopic dermatitis lesions. Here we describe PF-07245303, a comp",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""BEN-2293"" ""BenevolentAI""'
 '""ben 2293"" ""BenevolentAI""' '""Ben 2293"" ""BenevolentAI""'
 '""BEN 2293"" ""BenevolentAI""' '""BEN 2293""' '""ben 2293"" ""atopic dermatitis""'
 '""BEN 2293"" ""atopic dermatitis""' '""BEN-2293""'
 '""Ben 2293"" ""atopic dermatitis""' '""Ben 2293""' '""ben 2293""'
 '""NCT04737304""' '""BEN-2293"" ""atopic dermatitis""']"
EVID-00198,"Disease characteristics, comorbidities, treatment patterns and quality of life impact in children &lt;12 years old with atopic dermatitis: Interim results from the PEDISTAD Real-World Registry",['OpenAlex'],OpenAlex,https://doi.org/10.1016/j.jaad.2022.01.018,10.1016/j.jaad.2022.01.018,,,2022-01-23,"{""id"": ""doi:10.1016/j.jaad.2022.01.018"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1016/j.jaad.2022.01.018"", ""pdf_url"": null, ""source"": {""id"": ""https://openalex.org/S58727509"", ""display_name"": ""Journal of the American Academy of Dermatology"", ""issn_l"": ""0190-9622"", ""issn"": [""0190-9622"", ""1097-6787""], ""is_oa"": false, ""is_in_doaj"": false, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310320990"", ""host_organization_name"": ""Elsevier BV"", ""host_organization_lineage"": [""https://openalex.org/P4310320990""], ""host_organization_lineage_names"": [""Elsevier BV""], ""type"": ""journal""}, ""license"": ""cc-by-nc-nd"", ""license_id"": ""https://openalex.org/licenses/cc-by-nc-nd"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""Journal of the American Academy of Dermatology"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis'],['title'],"Disease characteristics, comorbidities, treatment patterns and quality of life impact in children &lt;12 years old with atopic dermatitis: Interim results from the PEDISTAD Real-World Registry https://doi.org/10.1016/j.jaad.2022.01.018",100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00136,Dupilumab Provides Acceptable Safety and Sustained Efficacy for up to 4 Years in an Open-Label Study of Adults with Moderate-to-Severe Atopic Dermatitis.,['PubMed' 'Europe PMC' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/35503163/,10.1007/s40257-022-00685-0,35503163,PMC9063621,2022-May,American journal of clinical dermatology,['Atopic Dermatitis' '4' 'Eczema'],['title' 'abstract'],Dupilumab Provides Acceptable Safety and Sustained Efficacy for up to 4 Years in an Open-Label Study of Adults with Moderate-to-Severe Atopic Dermatitis.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""4"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00702,Dupilumab Provides Significant Clinical Benefit in a Phase 3 Trial in Adolescents with Uncontrolled Atopic Dermatitis Irrespective of Prior Systemic Immunosuppressant Use.,['PubMed' 'Europe PMC'],PubMed,https://pubmed.ncbi.nlm.nih.gov/34043020/,10.2340/00015555-3848,34043020,PMC9413654,2021-Jul-15,Acta dermato-venereologica,['Atopic Dermatitis'],['title' 'metadata'],Dupilumab Provides Significant Clinical Benefit in a Phase 3 Trial in Adolescents with Uncontrolled Atopic Dermatitis Irrespective of Prior Systemic Immunosuppressant Use.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00135,"Effect of Dupilumab on Laboratory Parameters in Adolescents with Atopic Dermatitis: Results from a Randomized, Placebo-Controlled, Phase 3 Clinical Trial.",['PubMed'],PubMed,https://pubmed.ncbi.nlm.nih.gov/33655423/,10.1007/s40257-020-00583-3,33655423,PMC7973645,2021-Mar,American journal of clinical dermatology,['Atopic Dermatitis' 'Placebo' '4'],['title' 'abstract'],"Effect of Dupilumab on Laboratory Parameters in Adolescents with Atopic Dermatitis: Results from a Randomized, Placebo-Controlled, Phase 3 Clinical Trial.",100,confirmed direct evidence,False,"['""Placebo"" ""BenevolentAI""']"
EVID-00007,Efficacy and Safety of Dupilumab in Patients With Erythrodermic Atopic Dermatitis: A Post Hoc Analysis of 6 Randomized Clinical Trials.,['PubMed' 'Europe PMC'],PubMed,https://pubmed.ncbi.nlm.nih.gov/36723913/,10.1001/jamadermatol.2022.6192,36723913,PMC10018319,2023-Mar-01,JAMA dermatology,['Atopic Dermatitis' 'Placebo' 'Eczema' '4'],['title' 'abstract'],Efficacy and Safety of Dupilumab in Patients With Erythrodermic Atopic Dermatitis: A Post Hoc Analysis of 6 Randomized Clinical Trials.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00545,Efficacy and Safety of Once-Daily Roflumilast Cream 0.05% in Pediatric Patients Aged 2-5 Years With Mild-to-Moderate Atopic Dermatitis (INTEGUMENT-PED): A Phase 3 Randomized Controlled Trial.,['PubMed' 'Europe PMC' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/39980188/,10.1111/pde.15840,39980188,PMC11950803,2025,Pediatric dermatology,['Atopic Dermatitis' 'Eczema' '4'],['title' 'abstract' 'metadata'],Efficacy and Safety of Once-Daily Roflumilast Cream 0.05% in Pediatric Patients Aged 2-5 Years With Mild-to-Moderate Atopic Dermatitis (INTEGUMENT-PED): A Phase 3 Randomized Controlled Trial.,100,confirmed direct evidence,False,"['""4"" ""BenevolentAI""' '""Eczema"" ""BenevolentAI""']"
EVID-00006,Efficacy and Safety of Upadacitinib vs Dupilumab in Adults With Moderate-to-Severe Atopic Dermatitis: A Randomized Clinical Trial.,['PubMed' 'Europe PMC' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/34347860/,10.1001/jamadermatol.2021.3023,34347860,PMC8340015,2021-Sep-01,JAMA dermatology,['Atopic Dermatitis' 'Eczema' '4'],['title' 'abstract'],Efficacy and Safety of Upadacitinib vs Dupilumab in Adults With Moderate-to-Severe Atopic Dermatitis: A Randomized Clinical Trial.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""4"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""']"
EVID-00491,European and multi-ancestry genome-wide association meta-analysis of atopic dermatitis highlights importance of systemic immune regulation,['OpenAlex'],OpenAlex,https://doi.org/10.1101/2022.10.05.22279072,10.1101/2022.10.05.22279072,,,2022-10-10,"{""id"": ""doi:10.1101/2022.10.05.22279072"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1101/2022.10.05.22279072"", ""pdf_url"": ""https://www.medrxiv.org/content/medrxiv/early/2022/11/18/2022.10.05.22279072.full.pdf"", ""source"": {""id"": ""https://openalex.org/S3005729997"", ""display_name"": ""medRxiv"", ""issn_l"": null, ""issn"": null, ""is_oa"": false, ""is_in_doaj"": false, ""is_core"": true, ""host_organization"": null, ""host_organization_name"": null, ""host_organization_lineage"": [""https://openalex.org/P4310315909""], ""host_organization_lineage_names"": [""Cold Spring Harbor Laboratory Press""], ""type"": ""repository""}, ""license"": null, ""license_id"": null, ""version"": ""acceptedVersion"", ""is_accepted"": true, ""is_published"": false, ""raw_source_name"": ""medRxiv"", ""raw_type"": ""posted-content""}",['Atopic Dermatitis'],['title'],European and multi-ancestry genome-wide association meta-analysis of atopic dermatitis highlights importance of systemic immune regulation https://doi.org/10.1101/2022.10.05.22279072,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00138,Identifying the Most Relevant Eczema Area and Severity Index Thresholds from the Patient Perspective in Atopic Dermatitis Treatment.,['PubMed' 'Europe PMC' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/41996013/,10.1007/s40257-026-01017-2,41996013,PMC13171696,2026-May,American journal of clinical dermatology,['Atopic Dermatitis' 'Eczema' '4'],['title' 'abstract'],Identifying the Most Relevant Eczema Area and Severity Index Thresholds from the Patient Perspective in Atopic Dermatitis Treatment.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""' '""Placebo"" ""BenevolentAI""' '""4"" ""BenevolentAI""']"
EVID-00509,Impact of climate change on atopic dermatitis: A review by the International Eczema Council,['OpenAlex'],OpenAlex,https://doi.org/10.1111/all.16007,10.1111/all.16007,,,2024-01-24,"{""id"": ""doi:10.1111/all.16007"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1111/all.16007"", ""pdf_url"": ""https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/all.16007"", ""source"": {""id"": ""https://openalex.org/S68090385"", ""display_name"": ""Allergy"", ""issn_l"": ""0105-4538"", ""issn"": [""0105-4538"", ""1398-9995""], ""is_oa"": false, ""is_in_doaj"": false, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310320595"", ""host_organization_name"": ""Wiley"", ""host_organization_lineage"": [""https://openalex.org/P4310320595""], ""host_organization_lineage_names"": [""Wiley""], ""type"": ""journal""}, ""license"": ""cc-by-nc"", ""license_id"": ""https://openalex.org/licenses/cc-by-nc"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""Allergy"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis' 'Eczema'],['title'],Impact of climate change on atopic dermatitis: A review by the International Eczema Council https://doi.org/10.1111/all.16007,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00237,Implementing Federated Analysis Using DataSHIELD in the DREAM TO TREAT Atopic Dermatitis Registries Collaboration,['OpenAlex'],OpenAlex,https://doi.org/10.1016/j.jid.2025.07.036,10.1016/j.jid.2025.07.036,,,2025-09-04,"{""id"": ""doi:10.1016/j.jid.2025.07.036"", ""is_oa"": true, ""landing_page_url"": ""https://doi.org/10.1016/j.jid.2025.07.036"", ""pdf_url"": null, ""source"": {""id"": ""https://openalex.org/S28607811"", ""display_name"": ""Journal of Investigative Dermatology"", ""issn_l"": ""0022-202X"", ""issn"": [""0022-202X"", ""1523-1747""], ""is_oa"": false, ""is_in_doaj"": false, ""is_core"": true, ""host_organization"": ""https://openalex.org/P4310320990"", ""host_organization_name"": ""Elsevier BV"", ""host_organization_lineage"": [""https://openalex.org/P4310320990""], ""host_organization_lineage_names"": [""Elsevier BV""], ""type"": ""journal""}, ""license"": ""cc-by"", ""license_id"": ""https://openalex.org/licenses/cc-by"", ""version"": ""publishedVersion"", ""is_accepted"": true, ""is_published"": true, ""raw_source_name"": ""Journal of Investigative Dermatology"", ""raw_type"": ""journal-article""}",['Atopic Dermatitis'],['title'],Implementing Federated Analysis Using DataSHIELD in the DREAM TO TREAT Atopic Dermatitis Registries Collaboration https://doi.org/10.1016/j.jid.2025.07.036,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
EVID-00202,International multicenter case series of gestational dupilumab exposure in the treatment of atopic dermatitis: Maternal complications and fetal outcomes.,['PubMed' 'OpenAlex'],PubMed,https://pubmed.ncbi.nlm.nih.gov/41173425/,10.1016/j.jaad.2025.10.123,41173425,,2026-Mar,Journal of the American Academy of Dermatology,['Atopic Dermatitis'],['title'],International multicenter case series of gestational dupilumab exposure in the treatment of atopic dermatitis: Maternal complications and fetal outcomes.,100,confirmed direct evidence,False,"['""Eczema"" ""BenevolentAI""']"
